Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 2010,Appling,0,1,0,6,6,12,1
January 2010,Atkinson,0,0,0,1,1,4,0
January 2010,Bacon,0,1,0,0,2,5,0
January 2010,Baker,0,0,0,0,0,0,0
January 2010,Baldwin,0,0,2,29,46,88,3
January 2010,Banks,0,0,0,3,4,28,3
January 2010,Barrow,1,2,1,38,42,102,10
January 2010,Bartow,0,0,4,5,68,153,15
January 2010,Ben Hill,0,0,0,0,2,12,2
January 2010,Berrien,0,0,0,4,12,31,1
January 2010,Bibb,4,4,29,31,232,444,71
January 2010,Bleckley,0,0,0,4,8,17,1
January 2010,Brantley,0,1,0,2,11,11,0
January 2010,Brooks,0,0,2,11,21,24,4
January 2010,Bryan,0,0,0,3,18,33,5
January 2010,Bulloch,0,0,2,19,27,111,10
January 2010,Burke,0,0,3,11,16,60,6
January 2010,Butts,0,0,0,0,16,27,4
January 2010,Calhoun,0,0,0,0,3,1,1
January 2010,Camden,0,1,1,5,37,63,0
January 2010,Candler,0,0,0,2,15,16,0
January 2010,Carroll,0,1,9,71,75,224,13
January 2010,Catoosa,0,0,2,5,22,85,6
January 2010,Charlton,0,0,0,0,4,9,2
January 2010,Chatham,1,4,39,41,280,639,76
January 2010,Chattooga,0,0,0,1,9,13,1
January 2010,Cherokee,0,0,3,15,68,238,9
January 2010,Clarke,0,2,4,26,101,262,16
January 2010,Clay,0,0,1,0,0,0,0
January 2010,Clayton,1,13,44,54,432,463,131
January 2010,Clinch,0,0,1,2,5,14,0
January 2010,Coffee,0,0,0,9,29,105,6
January 2010,Colquitt,1,1,10,6,35,72,1
January 2010,Columbia,0,0,2,7,35,180,1
January 2010,Cook,0,0,0,2,11,22,3
January 2010,Coweta,0,4,4,16,59,139,4
January 2010,Crawford,0,1,0,5,14,32,6
January 2010,Crisp,1,2,4,3,24,51,3
January 2010,Dade,1,0,0,4,1,7,3
January 2010,Dawson,0,0,0,1,3,26,4
January 2010,Decatur,0,2,3,11,19,39,1
January 2010,Dekalb,8,16,159,120,795,1526,358
January 2010,Dodge,0,0,0,5,17,58,4
January 2010,Dooly,0,0,0,3,2,9,0
January 2010,Dougherty,1,1,14,47,149,258,37
January 2010,Douglas,0,0,3,21,58,226,17
January 2010,Early,0,0,1,3,12,11,1
January 2010,Echols,0,0,0,0,2,3,0
January 2010,Effingham,0,2,0,0,26,24,2
January 2010,Elbert,0,0,0,2,36,68,0
January 2010,Emanuel,0,0,0,1,15,10,3
January 2010,Evans,0,0,0,9,8,10,1
January 2010,Fannin,0,0,1,7,18,7,3
January 2010,Fayette,0,0,5,3,18,84,14
January 2010,Floyd,1,2,9,24,61,186,18
January 2010,Forsyth,0,3,0,7,51,101,7
January 2010,Franklin,0,0,0,0,6,23,1
January 2010,Fulton,10,15,246,291,1205,2378,586
January 2010,Gilmer,0,0,0,4,11,20,0
January 2010,Glascock,0,0,0,0,0,0,0
January 2010,Glynn,0,0,19,23,82,237,12
January 2010,Gordon,1,0,2,17,33,93,2
January 2010,Grady,0,0,0,0,10,16,2
January 2010,Greene,0,2,0,1,9,31,2
January 2010,Gwinnett,1,12,72,82,519,1063,155
January 2010,Habersham,0,0,0,2,17,38,3
January 2010,Hall,0,1,6,8,81,221,24
January 2010,Hancock,0,0,1,1,10,5,0
January 2010,Haralson,0,0,1,11,8,52,3
January 2010,Harris,0,0,0,1,2,23,0
January 2010,Hart,0,0,1,9,7,36,2
January 2010,Heard,0,0,0,1,0,10,3
January 2010,Henry,1,2,16,24,127,276,24
January 2010,Houston,0,3,5,31,63,210,12
January 2010,Irwin,0,1,0,0,2,18,3
January 2010,Jackson,0,1,2,7,24,52,4
January 2010,Jasper,0,0,0,1,6,9,0
January 2010,Jeff Davis,0,0,0,0,8,38,5
January 2010,Jefferson,0,0,0,1,8,11,1
January 2010,Jenkins,0,0,0,4,2,0,0
January 2010,Johnson,0,0,0,4,7,5,0
January 2010,Jones,0,0,0,4,9,34,6
January 2010,Lamar,0,0,1,5,13,21,3
January 2010,Lanier,0,0,0,1,1,3,2
January 2010,Laurens,0,1,1,14,41,113,9
January 2010,Lee,0,0,1,3,12,36,6
January 2010,Liberty,0,0,3,7,45,89,7
January 2010,Lincoln,0,0,0,2,0,2,0
January 2010,Long,0,0,0,0,2,3,1
January 2010,Lowndes,0,1,11,6,86,206,17
January 2010,Lumpkin,0,1,0,7,10,34,2
January 2010,Macon,0,0,1,1,6,8,1
January 2010,Madison,0,0,1,1,13,26,1
January 2010,Marion,0,0,2,4,0,7,0
January 2010,McDuffie,0,1,2,3,6,27,4
January 2010,McIntosh,0,0,2,2,13,14,4
January 2010,Meriwether,0,1,0,1,15,26,13
January 2010,Miller,0,0,0,1,4,4,0
January 2010,Mitchell,0,0,1,16,10,45,1
January 2010,Monroe,0,1,0,1,12,18,5
January 2010,Montgomery,0,0,0,0,1,0,0
January 2010,Morgan,0,0,1,2,3,16,2
January 2010,Murray,0,1,0,6,18,48,4
January 2010,Muscogee,1,4,33,49,305,632,86
January 2010,Newton,0,1,2,22,56,119,15
January 2010,Oconee,0,0,2,8,9,27,1
January 2010,Oglethorpe,0,1,0,3,18,38,3
January 2010,Paulding,1,3,5,9,62,168,16
January 2010,Peach,0,0,1,9,18,71,4
January 2010,Pickens,1,0,0,1,9,10,2
