Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 1988,Appling,0,0,0,5,14,19,1
January 1988,Atkinson,0,0,0,0,0,5,0
January 1988,Bacon,0,0,2,2,17,5,5
January 1988,Baker,0,0,0,0,0,0,0
January 1988,Baldwin,0,1,1,21,42,56,5
January 1988,Banks,0,0,0,0,5,8,1
January 1988,Barrow,0,0,0,3,33,27,5
January 1988,Bartow,0,1,4,1,67,54,19
January 1988,Ben Hill,0,1,1,1,19,45,4
January 1988,Berrien,0,0,1,3,6,21,1
January 1988,Bibb,0,7,31,49,267,615,61
January 1988,Bleckley,0,0,0,4,3,3,1
January 1988,Brantley,0,0,0,3,4,4,0
January 1988,Brooks,0,1,1,1,12,8,3
January 1988,Bryan,0,0,2,5,14,22,3
January 1988,Bulloch,0,0,1,10,27,93,3
January 1988,Burke,0,1,3,1,9,20,1
January 1988,Butts,1,1,0,4,6,12,1
January 1988,Calhoun,0,0,0,0,6,2,0
January 1988,Camden,0,1,0,4,24,51,8
January 1988,Candler,0,0,0,3,3,1,0
January 1988,Carroll,1,2,0,17,74,145,26
January 1988,Catoosa,0,1,0,0,32,71,8
January 1988,Charlton,0,0,0,1,10,10,1
January 1988,Chatham,6,7,67,48,398,688,41
January 1988,Chattahoochee,0,0,0,0,3,3,0
January 1988,Chattooga,0,0,0,2,13,25,4
January 1988,Cherokee,1,0,1,10,69,134,21
January 1988,Clarke,0,2,6,21,126,245,17
January 1988,Clay,0,0,0,0,0,0,0
January 1988,Clayton,1,2,26,23,209,519,91
January 1988,Clinch,0,0,0,0,0,1,0
January 1988,Cobb,2,11,56,24,485,1036,189
January 1988,Coffee,1,0,2,9,18,51,4
January 1988,Colquitt,1,4,4,4,59,37,8
January 1988,Columbia,0,2,6,5,36,52,6
January 1988,Cook,0,1,7,1,15,26,3
January 1988,Coweta,1,0,3,2,56,119,6
January 1988,Crawford,0,0,0,0,3,6,0
January 1988,Crisp,0,2,8,14,53,74,1
January 1988,Dade,0,1,1,0,11,6,1
January 1988,Dawson,0,0,0,3,16,11,2
January 1988,Decatur,0,0,2,5,23,37,1
January 1988,Dekalb,3,28,197,56,968,1932,498
January 1988,Dodge,0,0,1,3,8,18,0
January 1988,Dooly,0,0,0,6,13,12,2
January 1988,Dougherty,2,9,42,40,270,440,30
January 1988,Douglas,1,2,4,9,83,137,16
January 1988,Early,1,0,2,7,10,8,0
January 1988,Echols,0,0,0,0,4,1,3
January 1988,Effingham,0,0,0,2,20,25,4
January 1988,Elbert,0,0,0,1,36,20,1
January 1988,Emanuel,0,2,1,6,12,11,5
January 1988,Evans,0,0,0,0,0,4,1
January 1988,Fannin,0,0,0,2,15,12,3
January 1988,Fayette,0,0,0,3,47,85,3
January 1988,Floyd,0,0,5,6,92,124,24
January 1988,Forsyth,1,0,0,5,24,35,15
January 1988,Franklin,0,0,3,2,5,14,3
January 1988,Fulton,23,62,592,593,1678,3537,1024
January 1988,Gilmer,0,0,0,0,9,7,3
January 1988,Glascock,0,0,0,0,0,0,0
January 1988,Glynn,0,1,20,27,133,244,10
January 1988,Gordon,0,1,0,3,34,54,6
January 1988,Grady,0,0,0,1,19,13,0
January 1988,Greene,0,0,0,1,4,3,0
January 1988,Gwinnett,0,10,23,49,328,864,116
January 1988,Habersham,0,0,0,1,1,9,0
January 1988,Hall,1,1,10,10,123,296,28
January 1988,Hancock,0,0,0,0,2,0,0
January 1988,Haralson,0,0,1,4,18,20,4
January 1988,Harris,0,0,2,4,15,12,2
January 1988,Hart,0,1,1,3,12,13,0
January 1988,Heard,0,0,0,0,2,2,1
January 1988,Henry,0,0,2,4,30,84,6
January 1988,Houston,0,1,17,19,121,243,24
January 1988,Irwin,0,0,0,0,3,18,1
January 1988,Jackson,2,0,0,4,14,29,7
January 1988,Jasper,0,0,0,1,4,1,1
January 1988,Jeff Davis,0,0,0,1,15,8,1
January 1988,Jefferson,0,1,1,3,20,4,3
January 1988,Jenkins,0,0,1,3,7,5,0
January 1988,Johnson,0,1,0,1,2,1,0
January 1988,Jones,0,0,0,2,13,9,1
January 1988,Lamar,0,0,0,3,6,7,2
January 1988,Lanier,0,0,0,2,8,5,1
January 1988,Laurens,0,1,1,8,25,81,5
January 1988,Lee,0,0,0,0,19,6,0
January 1988,Liberty,0,1,2,9,31,100,17
January 1988,Lincoln,0,0,0,0,3,0,0
January 1988,Long,0,0,0,0,4,0,0
January 1988,Lowndes,1,6,13,16,146,359,24
January 1988,Lumpkin,0,1,0,0,7,6,0
January 1988,Macon,0,0,0,0,7,7,0
January 1988,Madison,0,0,0,0,14,25,2
January 1988,Marion,0,0,0,3,1,2,1
January 1988,McDuffie,0,0,0,0,9,12,2
January 1988,McIntosh,0,0,0,0,3,7,0
January 1988,Meriwether,0,0,0,0,9,5,0
January 1988,Miller,0,0,0,0,4,6,1
January 1988,Mitchell,1,0,1,2,29,20,4
January 1988,Monroe,0,0,1,4,14,28,1
January 1988,Montgomery,0,0,0,0,2,0,0
January 1988,Morgan,0,0,0,1,11,9,2
January 1988,Murray,0,1,0,1,14,25,7
January 1988,Muscogee,1,4,40,27,266,491,49
January 1988,Newton,0,0,7,8,44,71,4
January 1988,Oconee,0,0,0,1,5,2,2
January 1988,Oglethorpe,0,0,0,0,4,6,1
January 1988,Paulding,0,0,1,4,34,46,6
January 1988,Peach,0,0,0,3,9,14,1
January 1988,Pickens,0,0,0,0,10,9,0
January 1988,Pierce,0,0,0,1,11,13,1
January 1988,Pike,1,0,0,0,5,6,1
January 1988,Polk,0,0,0,4,38,28,4
January 1988,Pulaski,0,0,1,1,8,4,1
January 1988,Putnam,0,0,0,0,13,5,1
January 1988,Quitman,0,0,0,0,0,0,0
January 1988,Rabun,1,0,0,2,12,7,1
January 1988,Randolph,0,1,0,0,8,4,0
January 1988,Richmond,3,6,66,18,444,512,69
January 1988,Rockdale,0,4,8,11,49,115,14
January 1988,Schley,0,0,0,0,2,2,0
January 1988,Screven,0,1,0,3,3,15,0
January 1988,Seminole,0,0,2,3,5,9,0
January 1988,Spalding,1,0,9,12,97,154,21
January 1988,Stephens,0,1,1,5,15,32,7
January 1988,Stewart,0,0,0,3,0,2,0
January 1988,Sumter,0,1,6,8,34,77,3
January 1988,Talbot,0,0,0,0,0,1,0
January 1988,Taliaferro,0,0,0,0,5,0,0
January 1988,Tattnall,0,0,0,1,5,4,1
January 1988,Taylor,0,0,1,0,6,2,1
January 1988,Telfair,0,0,0,0,9,7,1
January 1988,Terrell,0,0,0,0,5,8,1
January 1988,Thomas,1,0,2,13,44,88,1
January 1988,Tift,1,4,7,31,48,115,7
January 1988,Toombs,0,0,0,3,11,17,0
January 1988,Towns,0,0,0,0,2,0,0
January 1988,Treutlen,0,0,0,1,6,7,1
January 1988,Troup,1,1,11,23,70,166,12
January 1988,Turner,0,0,0,2,5,5,1
January 1988,Twiggs,0,0,0,0,2,3,0
January 1988,Union,0,0,0,0,2,9,1
January 1988,Upson,1,0,3,8,13,35,4
January 1988,Walker,1,0,2,2,32,58,15
January 1988,Walton,1,0,3,6,29,55,4
January 1988,Ware,0,0,3,11,47,69,3
January 1988,Warren,0,0,0,0,0,0,0
January 1988,Washington,0,1,2,2,17,42,1
January 1988,Wayne,0,0,1,2,10,24,2
January 1988,Webster,0,0,0,0,1,0,0
January 1988,Wheeler,0,0,0,0,3,1,0
January 1988,White,0,0,0,1,10,9,3
January 1988,Whitfield,0,2,2,12,81,186,29
January 1988,Wilcox,0,0,0,3,9,3,1
January 1988,Wilkes,1,0,0,0,4,9,1
January 1988,Wilkinson,0,0,0,3,7,6,0
January 1988,Worth,0,1,0,1,12,18,0
February 1988,Appling,0,0,0,2,10,16,0
February 1988,Atkinson,0,0,0,2,0,1,2
February 1988,Bacon,1,0,1,2,8,13,1
February 1988,Baker,0,0,0,0,0,0,0
February 1988,Baldwin,1,1,2,8,52,75,5
February 1988,Banks,0,0,0,0,7,5,2
February 1988,Barrow,0,1,1,5,26,31,2
February 1988,Bartow,0,0,1,1,65,67,10
February 1988,Ben Hill,0,0,2,1,22,38,3
February 1988,Berrien,0,1,0,3,13,18,2
February 1988,Bibb,1,10,31,48,191,549,61
February 1988,Bleckley,0,0,0,1,9,9,0
February 1988,Brantley,0,0,0,1,5,9,0
February 1988,Brooks,0,0,0,0,19,7,1
February 1988,Bryan,0,0,0,2,14,30,2
February 1988,Bulloch,0,0,2,7,15,115,5
February 1988,Burke,0,1,2,4,7,14,3
February 1988,Butts,0,0,0,0,13,13,3
February 1988,Calhoun,0,0,0,1,7,5,0
February 1988,Camden,0,0,0,6,17,41,9
February 1988,Candler,0,0,0,1,2,1,0
February 1988,Carroll,0,0,3,12,65,145,17
February 1988,Catoosa,0,0,5,4,40,52,2
February 1988,Charlton,0,0,0,1,12,11,1
February 1988,Chatham,0,13,47,51,385,662,45
February 1988,Chattahoochee,0,0,0,2,4,1,0
February 1988,Chattooga,0,0,2,3,18,38,4
February 1988,Cherokee,0,1,0,10,76,132,14
February 1988,Clarke,0,3,8,13,171,236,26
February 1988,Clay,0,0,0,0,0,1,0
February 1988,Clayton,0,3,46,37,215,575,92
February 1988,Clinch,0,0,0,0,9,3,1
February 1988,Cobb,3,10,44,28,447,948,159
February 1988,Coffee,0,0,3,7,20,44,6
February 1988,Colquitt,1,1,6,7,58,61,3
February 1988,Columbia,1,0,1,5,32,47,9
February 1988,Cook,1,0,6,4,27,31,2
February 1988,Coweta,0,1,3,4,67,83,12
February 1988,Crawford,0,0,0,0,5,6,0
February 1988,Crisp,0,0,1,7,28,53,7
February 1988,Dade,0,0,1,2,13,7,4
February 1988,Dawson,1,0,0,7,15,17,5
February 1988,Decatur,0,0,0,7,26,29,2
February 1988,Dekalb,3,22,138,61,973,1964,427
February 1988,Dodge,0,0,0,2,6,14,0
February 1988,Dooly,0,0,0,0,12,8,0
February 1988,Dougherty,4,1,35,27,256,375,25
February 1988,Douglas,0,4,5,11,86,131,17
February 1988,Early,0,0,0,7,6,8,0
February 1988,Echols,0,0,0,0,1,0,0
February 1988,Effingham,0,1,0,4,13,26,1
February 1988,Elbert,0,0,0,2,18,29,2
February 1988,Emanuel,0,0,1,4,23,23,0
February 1988,Evans,0,0,0,0,3,3,0
February 1988,Fannin,0,0,1,5,8,8,0
February 1988,Fayette,0,0,1,2,34,56,1
February 1988,Floyd,1,1,4,11,62,122,20
February 1988,Forsyth,1,0,0,0,17,66,2
February 1988,Franklin,0,2,0,6,5,6,1
